,Pair,Group,Segment,Interval,IFGr_IFGr,IFGl_IFGl,TPJr_TPJr,TPJl_TPJl,IFGl_IFGr,IFGr_TPJr,IFGr_TPJl,IFGl_TPJr,IFGl_TPJl,TPJr_TPJl
0,1,IC,laughter,1,0.253717231,0.215107814,,,0.262725547,0.258717592,0.285384092,0.214339971,0.21969109,
1,1,IC,laughter,2,0.231922979,0.288870295,,,0.2612790125045975,0.239530908,0.248007689,0.260856696,0.253971815,
199,1,IC,interaction,3,,0.234831936,,,0.261954097,0.229777379,0.248249763,0.296893723,0.306256599,
200,1,IC,interaction,4,,0.278681619,,,,,,0.259311747,0.236872939,
2,2,IC,laughter,1,,0.198435354,,,0.229438974,,,0.21142108,0.229041363,
3,2,IC,laughter,2,,0.422309017,,,0.453068097,,,0.217067305,0.174231328,
201,2,IC,interaction,3,,0.254042705,,,0.225736641,,,0.281261859,0.276342887,
202,2,IC,interaction,4,,0.221411141,,,0.196668337,,,0.293187134,0.200420235,
4,3,IC,laughter,1,0.288268901,0.303647825,0.193177258,0.187955388,0.30495117191043497,0.22755355,0.2345363289670235,0.3001256715067515,0.295440344,0.20858490205282898
5,3,IC,laughter,2,0.361406588,0.284196919,0.228177767,0.232145792,0.2997438368717555,0.327343619,0.291086937,0.274232152,0.29131002413557905,0.21495905371774598
203,3,IC,interaction,3,0.238468473,0.342318678,0.190863935,0.221397244,0.2639371621670945,0.2290901908172315,0.2181761036560215,0.25814570018520755,0.250088472,0.226531471
204,3,IC,interaction,4,0.264186485,,0.261453982,0.262462604,0.31075654,0.31190758,0.2948388516795645,0.259798063,0.224314588,0.271545138
6,4,IC,laughter,1,0.348762454,0.350073686,0.285111448,0.224902099,0.3443590856159475,0.2615782187410495,0.2177125552087405,0.2078822039731105,0.1886959633832955,0.25334683494849053
7,4,IC,laughter,2,0.343635522,0.286721904,0.221596884,0.252992953,0.33741338269301546,0.335983549,0.3414630135508835,0.3509463197277425,0.324989425,0.2626617667263215
205,4,IC,interaction,3,0.46829946,0.201600699,0.283970505,0.291914884,0.27799101398210546,0.31959086129624553,0.34610471394681297,0.297958366,0.409044876,0.2691249032790815
206,4,IC,interaction,4,0.235713962,0.329228475,0.237419989,0.181585814,0.2615862062319435,0.2684758173917265,0.276797743,0.297084393,0.2793030155748325,0.2594654899906025
